Clade_EF,No. lgs,Representative languages,Clade_BP2017,No. lgs,Clade_HH2022,No. lgs,old_name
Doso-Turumsa,2,Doso,Doso-Turumsa,2,Doso-Turumsa,2,
Hatam-Mansim,2,Hatam,Eastern Bird's Head; Hatam-Mansim,,Hatam-Mansim,2,
Inanwatan,2,Inanwatan,Southern Bird's Head[3],2,Inanwatan,2,
Kaure,2,Kaure,Kaure,2,Kaure-Kosare,2,
Mombum-Koneraw,2,Mombum,(^TNG; Mombum-Koneraw),,Mombum-Koneraw,2,
Piawi,2,Haruai,(Upper Yuat; Piawi[4]),,Piawi,2,
Senagi,2,Angor,Senagi,2,Senagi,2,
Teberan,2,Folopa,Teberan,2,Teberan,2,
Tofanma,2,Namla,Tofanma,2,Namla-Tofanma,2,
Yapen,2,Saweru,Yapen,2,Yawa-Saweru,2,
Bogia,1,Bogia,(Torricelli; Bogia),50,Bogia,1,
(TNG; Duna-Bogaya),,Bogaya,(TNG; Duna-Bogaya),),Bogaya,1,
(TNG; Duna-Bogaya),,Duna,TNG; Duna-Bogaya),,Duna,1,
(TNG; Goilalan),,Goialala,(TNG; Goilalan),,Tauade,1,
(TNG; Goilalan),,Fuyuge,(TNG; Goilalan),,Fuyug,1,
(TNG; Kutubu),,Fasu,(TNG; Kutubu),,Fasu,1,
(TNG; Marori),,Marori,(TNG; Marori),,Moraori,1,
(TNG; Wiru),,Baham,(TNG; Wiru),,Wiru,1,
Abinomn,1,Abinomn,Abinomn ,1,Abinomn,1,
Abun,1,Abun,Abun ,1,Abun,1,
Anem,1,Anêm,Anêm,1,Anem,1,
Ata,1,Ata,Ata,1,Ata,1,
Biksi,1,Yetfa,Biksi (Yetfa),1,Biksi,1,
Bilua,1,Bilua,(Central Solomons; Bilua),4,Bilua,1,
†Tambora,1,,not mentioned,,Tambora,1,
Burmeso,1,Burmeso,Burmeso,1,Burmeso,1,
Busa,1,Busa,Busa (Odiai),1,Busa,1,
Dem,1,Dem,Dem,1,Dem,1,
Dibiyaso,1,Dibiyaso,Dibiyaso,1,Dibiyaso,1,
Duranmin,1,Duranmin ,(Leonard Schulze),,Duranmin,1,
Elseng,1,Elseng,Elseng,1,Elseng,1,
Kaki Ae,1,Kaki Ae,Kaki Ae,1,Kaki Ae,1,
Kapauri,1,Kapauri,Kapauri,1,Kapauri,1,
Karami,1,Karami,Karami,1,Karami†,1,
Kehu,1,Kehu,Kehu,1,Kehu,1,
Kimki,1,Kimki,Kimki,1,Kimki,1,
Kol,1,Kol,Kol,1,Kol,1,
Kuot,1,Kuot,Kuot,1,Kuot,1,
