"ID","Name","Glottocode","Glottolog_Name","ISO639P3code","Macroarea","Latitude","Longitude","Family","Label","Project","ProjectFile","ProjectName","EntryDate","Comment","Link","Set","Clade_EF","No..lgs","Representative.languages","Clade_BP2017","No..lgs.1","No..lgs.2","old_name"
"p_nambonamb1293","Nambo","namb1293","Nambo","ncm","Papunesia",-8.74501,141.931,"Yam","Nambo_namb1293","parabank","Nambo namb1293.txt",NA,NA,"","","Parabank","Yam",26,"Nen, Yei","Yam","27",26,""
"p_nemeneme1244","Neme","neme1244","Neme","nex","Papunesia",-8.44877,141.849,"Yam","Neme_neme1244","parabank","Neme neme1244.txt",NA,NA,"","","Parabank","Yam",26,"Nen, Yei","Yam","27",26,""
"p_nennenn1238","Nen","nenn1238","Nen","nqn","Papunesia",-8.62183,142.032,"Yam","Nen_nenn1238","parabank","Nen nenn1238.txt",NA,NA,"","","Parabank","Yam",26,"Nen, Yei","Yam","27",26,""
"p_pagupagu1249","Pagu","pagu1249","Pagu","pgu","Papunesia",1.2134,127.78,"North Halmahera","Pagu_pagu1249","parabank","Pagu pagu1249.txt",NA,20170612,"Data incomplete and source word list requires interpretation","","Parabank","North Halmahera",10,"Tidore","North Halmahera","10",10,""
"p_riantanarian1263","Riantana","rian1263","Riantana","ran","Papunesia",-7.50746,138.484,"Kolopom","Riantana_rian1263","parabank","Riantana rian1263.txt",NA,20170322,"","","Parabank","(TNG; Kolopom)",NA,"Riantana","(TNG; Kolopom)","3",3,""
"p_rotokasroto1249","Rotokas","roto1249","Rotokas","roo","Papunesia",-5.94339,155.154,"North Bougainville","Rotokas_roto1249","parabank","Rotokas roto1249.txt",NA,20190717,"","","Parabank","North Bougainville",4,"Rotokas","North Bougainville","4",4,""
"p_sougbmani1235","Sougb","mani1235","Sougb","mnx","Papunesia",-1.49611,133.95,"East Bird's Head","Sougb_mani1235","parabank","Sougb mani1235.txt",NA,NA,"","","Parabank","East Bird's Head",5,"Meyah","East Bird's Head","5",5,""
"p_sukisuki1245","Suki","suki1245","Suki","sui","Papunesia",-8.04783,141.842,"Suki-Gogodala","Suki_suki1245","parabank","Suki suki1245.txt",NA,20170322,"","","Parabank","(TNG; Suki-Gogodala)",NA,"Suki","(TNG; Suki-Gogodala)","",4,""
"p_teiwateiw1235","Teiwa","teiw1235","Teiwa","twe","Papunesia",-8.37662,124.174,"Timor-Alor-Pantar","Teiwa_teiw1235","parabank","Teiwa teiw1235.txt",NA,20170621,"","","Parabank","Timor-Alor-Pantar",25,"Abui, Teiwa, Bunaq","Timor-Alor-Pantar","25",25,""
"p_tidoreversion1tido1248","Tidore","tido1248","Tidore","tvo","Papunesia",0.02461,127.746,"North Halmahera","Tidore_(version_1)_tido1248","parabank","Tidore (version 1) tido1248.txt",NA,20170612,"Data incomplete and source word list requires interpretation","","Parabank","North Halmahera",10,"Tidore","North Halmahera","10",10,""
